EXP NUM,Residence Time,Temperature,dielectric constant,ET(30),alpha,beta,pi*,SA,SB,SP,SdP,N,n,f(n),delta
22,3.9645442444339096,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,3.970885976923455,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,6.998174817675817,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,7.004516550165363,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,10.01750709611997,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,10.03814712340727,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,13.051159436116675,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,13.071777696649178,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,15.00056169452364,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,15.006863363214508,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,15.01176923834464,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
22,15.01720841288261,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
23,2.2084910724515794,225.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
23,5.242121645693487,225.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
23,8.275793048125024,225.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
23,11.30956512589023,225.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
23,14.343128637460724,225.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
23,15.004299199267734,225.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
23,15.009870972198769,225.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
23,15.01720841288261,225.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
